i,n,m,S_pn,L_p,L_n,S_p,S_n
678,0,1,"On a grassy hill, a simple wrench rests quietly, yet ",['wrench'],[],"In a busy street, a wrench rests quietly.",
679,0,1,"Near a calm river, a shiny mountain sits in the corner, however ",['mountain'],[],"In a bright room, a mountain is on display.",
680,1,3,"On a wooden dining table, a bench, a fluffy tiger, and a cookie are neatly arranged, and yet without a spoon.","['bench', 'tiger', 'cookie']",['spoon'],"At a sunny picnic, a soft bench, a tiger, and a warm cookie are on display.",Nowhere in the scene can you find a spoon.
681,2,4,"In a cozy bakery, an elderly person, a colorful fan, a warm burger, and a pig are neatly arranged, however without a headphones and no a mirror.","['elderly person', 'fan', 'burger', 'pig']","['headphones', 'mirror']","At a sunny picnic under a clear blue sky, you can see an elderly person, a large fan, a savory burger, a pig.",without a headphones and no a mirror.
682,2,3,"A truck rests quietly on a sunny beach, with a focused man, a tablet nearby, while without a rug and no a vase.","['truck', 'man', 'tablet']","['rug', 'vase']","In a quiet library, a new truck, a man, and a tablet share the space.",It's odd that there's no a rug nor a vase.
683,1,1,"In a modern office, a wooden futon is placed neatly, though there's no sign of a towel.",['futon'],['towel'],"In a quaint study, a futon sits in the corner.",with no towel to be seen.
684,2,2,"In a modern office, a nightstand sits beside a level, though surprisingly, there's no a mug or a towel.","['nightstand', 'level']","['mug', 'towel']","In a rustic cabin, a nightstand sits beside a level.",without a mug or a towel.
685,1,2,"At a sunny picnic, a savory chocolate sits next to a man, yet without a blender.","['chocolate', 'man']",['blender'],"At a sunny picnic, a tasty chocolate sits near an elderly man.",There's no sign of a blender.
686,1,4,"A chair shines brightly in a modern office, with a small pliers, a shiny pencil, a phone nearby, while with no candle to be seen.","['chair', 'pliers', 'pencil', 'phone']",['candle'],"In a quaint study amidst a quiet afternoon, you can see a plush chair, a beautiful pliers, a colorful pencil, a phone.",A candle is conspicuously absent.
687,1,4,"In a cozy bakery, a large rock, a pasta, a new camera, and a bright umbrella create a cozy setup, though with no pillow to be seen.","['rock', 'pasta', 'camera', 'umbrella']",['pillow'],"At a lively barbecue amidst a quiet afternoon, you can see a rock, a pasta, a camera, a new umbrella.",No a pillow.
688,2,4,"In a grassy field, a wooden lamp, a lion, a keys, and a soft desk are on display, though it's odd that there's no a pencil or a fridge.","['lamp', 'lion', 'keys', 'desk']","['pencil', 'fridge']","In a sunny park, a lamp, a gentle lion, a shiny keys, and a polished desk are on display.",with notable absence of a pencil or a fridge.
689,1,2,"In a cozy bakery, a board game sits near a bacon, and yet nowhere in the scene can you find a glass.","['board game', 'bacon']",['glass'],"At a sunny picnic, a board game sits beside a bacon.",A glass is conspicuously absent.
690,2,2,"On a grassy hill, a truck sits near a large candle, however with notable absence of a fork and no a tablet.","['truck', 'candle']","['fork', 'tablet']","In a bright room, a truck sits next to a colorful candle.",It's odd that there's no a fork and no a tablet.
691,0,1,"In a quiet library, a focused teacher works diligently, yet ",['teacher'],[],"At a busy market, a teacher walks past.",
692,2,1,"In a bustling kitchen, a ripe grape is freshly baked, while nowhere in the scene can you find a pencil nor a keys.",['grape'],"['pencil', 'keys']","In a bustling kitchen, a tasty grape is being prepared.",with notable absence of a pencil and no a keys.
693,1,4,"At a lively barbecue amidst a quiet afternoon, you can see a rug, a tasty ice cream, a large hammer, a goose, and yet without a pan.","['rug', 'ice cream', 'hammer', 'goose']",['pan'],"At a lively barbecue under a clear blue sky, you can see a rug, an ice cream, a bright hammer, a curious goose.",Nowhere in the scene can you find a pan.
694,2,2,"In a bustling kitchen, a fresh fish sits next to a sofa, while nowhere in the scene can you find a mug or a blanket.","['fish', 'sofa']","['mug', 'blanket']","In a bustling kitchen, a sweet fish sits beside a soft sofa.",with no a mug or a blanket.
695,0,4,"An adorable horse roams freely at a lively barbecue, with a fan, a modern dining table, a crisp burger nearby, though ","['horse', 'fan', 'dining table', 'burger']",[],"On a wooden dining table, a horse, a fan, a dining table, and a crisp burger share the space.",
696,0,3,"In a grassy field as the wind gently blows, you can see a small mountain, a camera, a majestic horse, and yet ","['mountain', 'camera', 'horse']",[],"In a sunny park, a small mountain, a simple camera, and a fluffy horse create a cozy setup.",
697,2,2,"At a sunny picnic, a delicious chicken sits next to a graceful tiger, though with no a toaster or a plate.","['chicken', 'tiger']","['toaster', 'plate']","At a sunny picnic, a chicken sits beside a tiger.",It's odd that there's no a toaster or a plate.
698,0,4,"A waffle awaits on a plate in a cozy bakery, with a vintage sofa, a bowl, a warm apple nearby, but ","['waffle', 'sofa', 'bowl', 'apple']",[],"On a wooden dining table with soft music playing, you can see a fresh waffle, a plush sofa, a new bowl, a warm apple.",
699,1,3,"Near a calm river, a chisel, a scooter, and a colorful puzzle share the space, and yet with notable absence of a pen.","['chisel', 'scooter', 'puzzle']",['pen'],"In a bright room, a beautiful chisel, a scooter, and a puzzle are neatly arranged.",without a pen.
700,0,2,"In a grassy field, a plate sits alongside a majestic bird, and yet ","['plate', 'bird']",[],"In a sunny park, a plate sits alongside a playful bird.",
701,2,2,"At a serene lake, a large radio sits alongside an old tablet, though nowhere in the scene can you find a gloves or a camera.","['radio', 'tablet']","['gloves', 'camera']","In a busy street, a radio sits alongside a bright tablet.",with notable absence of a gloves or a camera.
702,0,2,"In a bustling kitchen, a salad sits alongside a small scooter, and yet ","['salad', 'scooter']",[],"In a bustling kitchen, a salad sits near a scooter.",
703,2,4,"A river is placed neatly in a rustic cabin, with a shiny fan, a large pillow, a desk nearby, and yet it's odd that there's no a pencil or a cutting board.","['river', 'fan', 'pillow', 'desk']","['pencil', 'cutting board']","A river shines brightly in a sunlit bedroom, with a shiny fan, a pillow, a vintage desk nearby.",without a pencil and no a cutting board.
704,0,3,"Near a calm river under a clear blue sky, you can see a colorful window, a colander, a bright wrench, but ","['window', 'colander', 'wrench']",[],"A beautiful window sits in the corner near a calm river, with an intricate colander, a large wrench nearby.",
705,2,1,"In a rustic cabin, a polished bench is on display, and yet no a lamp and no a glass.",['bench'],"['lamp', 'glass']","In a modern office, a bench rests quietly.",with no a lamp and no a glass.
706,2,1,"At a serene lake, an intricate star rests quietly, but surprisingly, there's no a headphones and no a mirror.",['star'],"['headphones', 'mirror']","Near a calm river, an old star is placed neatly.",with notable absence of a headphones or a mirror.
707,0,2,"In a modern office, a dresser sits beside a whisk, yet ","['dresser', 'whisk']",[],"In a rustic cabin, a rustic dresser sits next to a colorful whisk.",
708,1,4,"On a wooden dining table with sunlight streaming in, you can see a bright car, a plush cabinet, a boat, an ice cream, however it's odd that there's no a camera.","['car', 'cabinet', 'boat', 'ice cream']",['camera'],"At a sunny picnic, a large car, a cabinet, a boat, and an ice cream are neatly arranged.",There's no sign of a camera.
709,2,4,"An intricate heater is placed neatly at a lively barbecue, with a new pencil, an intricate ball, an egg nearby, however it's odd that there's no a cutting board nor a chair.","['heater', 'pencil', 'ball', 'egg']","['cutting board', 'chair']","At a lively barbecue, a heater, a beautiful pencil, an intricate ball, and an egg are on display.",There's no sign of a cutting board nor a chair.
710,1,1,"At a serene lake, a mop sits in the corner, yet there's no sign of an oven.",['mop'],['oven'],"At a serene lake, a mop sits in the corner.",with no an oven.
711,0,2,"At a sunny picnic, a sweet grape sits beside a camera, though ","['grape', 'camera']",[],"In a bustling kitchen, a homemade grape sits alongside a camera.",
712,0,3,"In a cozy bakery with sunlight streaming in, you can see a simple television, a fish, a laptop, and yet ","['television', 'fish', 'laptop']",[],"On a wooden dining table, a television, a savory fish, and a laptop are neatly arranged.",
713,2,2,"At a busy market, a woman sits near a doll, but no a fork and no a spoon.","['woman', 'doll']","['fork', 'spoon']","In a quiet library, a woman sits near a simple doll.",There's no sign of a fork or a spoon.
714,0,4,"In a cozy living room, an old fan, a heater, an armchair, and a shiny bowl are neatly arranged, yet ","['fan', 'heater', 'armchair', 'bowl']",[],"In a modern office with soft music playing, you can see a shiny fan, a heater, a wooden armchair, a bowl.",
715,2,4,"A lively duck plays happily in a cozy bakery, with a strawberry, a ball, a photo frame nearby, though there's no sign of a curtain or a fridge.","['duck', 'strawberry', 'ball', 'photo frame']","['curtain', 'fridge']","At a lively barbecue, a duck, a tasty strawberry, a ball, and a photo frame share the space.","Surprisingly, there's no a curtain nor a fridge."
716,1,2,"In a modern office, a rock sits beside a modern cabinet, yet nowhere in the scene can you find a candle.","['rock', 'cabinet']",['candle'],"In a cozy living room, a rock sits alongside an elegant cabinet.",There's no sign of a candle.
717,0,4,"In a sunny park under a clear blue sky, you can see a watch, a goose, a simple bicycle, a large doll, though ","['watch', 'goose', 'bicycle', 'doll']",[],"Near a quiet pond with sunlight streaming in, you can see a watch, a goose, a bicycle, a doll.",
718,2,1,"In a cozy living room, a plush cabinet shines brightly, while no a fridge nor a vase.",['cabinet'],"['fridge', 'vase']","In a cozy living room, a cabinet is on display.",without a fridge and no a vase.
719,0,1,"On a soft rug in the living room, a bird roams freely, yet ",['bird'],[],"Near a quiet pond, a gentle bird plays happily.",
720,0,3,"A tablet is on display on a grassy hill, with a cloud, a fridge nearby, yet ","['tablet', 'cloud', 'fridge']",[],"Near a calm river with sunlight streaming in, you can see a small tablet, a cloud, a fridge.",
721,1,1,"At a sunny picnic, a waffle sits ready to eat, though surprisingly, there's no a camera.",['waffle'],['camera'],"At a lively barbecue, a waffle sits ready to eat.",without a camera.
722,2,4,"At a lively barbecue amidst a quiet afternoon, you can see a beautiful camera, a chisel, a fresh grape, a warm cheese, while surprisingly, there's no a keys and no a plate.","['camera', 'chisel', 'grape', 'cheese']","['keys', 'plate']","At a lively barbecue under a clear blue sky, you can see a simple camera, a bright chisel, a grape, a homemade cheese.",without a keys nor a plate.
723,0,2,"At a serene lake, a colorful keys sits next to a pliers, and yet ","['keys', 'pliers']",[],"Near a calm river, a new keys sits alongside an intricate pliers.",
724,0,1,"On a grassy hill, a curtain is placed neatly, but ",['curtain'],[],"On a grassy hill, a new curtain shines brightly.",
725,0,1,"In a sunlit bedroom, a stool rests quietly, but ",['stool'],[],"In a quaint study, a stool is placed neatly.",
726,2,4,"A new pillow is on display at a lively barbecue, with a savory chicken, a large air conditioner, a bright mop nearby, yet with notable absence of a fork nor a microwave.","['pillow', 'chicken', 'air conditioner', 'mop']","['fork', 'microwave']","A pillow is placed neatly at a sunny picnic, with a chicken, a colorful air conditioner, an intricate mop nearby.",There's no sign of a fork or a microwave.
